File Name,admin_2023-12-19 12-52-33_BR007856_23-12-19 SnIV1-2696-2697 plate 5.pcrd,,,,,,,,,,,,,,,,,
Created By User,admin,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Run Started,12/19/2023 11:53:18 UTC,,,,,,,,,,,,,,,,,
Run Ended,12/19/2023 13:28:15 UTC,,,,,,,,,,,,,,,,,
Sample Vol,10,,,,,,,,,,,,,,,,,
Lid Temp,105,,,,,,,,,,,,,,,,,
Protocol File Name,23-03-02 58-20-40 -- PROTOCOL.prcl,,,,,,,,,,,,,,,,,
Plate Setup File Name,23-12-19 SnIV1-2696-2697 plate 5.pltd,,,,,,,,,,,,,,,,,
Base Serial Number,BR007856,,,,,,,,,,,,,,,,,
Optical Head Serial Number,788BR07489,,,,,,,,,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,,,,,,,,
Amplification step,4,,,,,,,,,,,,,,,,,
Melt step,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Biological Set Name,Well Note,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Call,End RFU
A01,SYBR,SnIV1-2696:2697,Unkn,,2287,,,38.6406614595795,NaN,38.6406614595795,0,0,None,None,None,None,,184.378094405873
A02,SYBR,SnIV1-2696:2697,Unkn,,2297,,,37.8207064473599,NaN,37.8207064473599,0,0,84.5,118.488714869346,77,93.5,,226.718224956244
A03,SYBR,SnIV1-2696:2697,Unkn,,2307,,,33.9233165499008,NaN,33.9233165499008,0,0,85,219.492028705078,74.5,90.5,(+) Positive,644.508210670234
A04,SYBR,SnIV1-2696:2697,Unkn,,2375,,,NaN,NaN,0,0,0,None,None,None,None,,-0.349454014684034
A05,SYBR,SnIV1-2696:2697,Unkn,,2383,,,33.5315722756044,NaN,33.5315722756044,0,0,84.5,165.24266757608,67.5,88.5,,564.137122263506
A06,SYBR,SnIV1-2696:2697,Unkn,,2391,,,38.6430113412175,NaN,38.6430113412175,0,0,None,None,None,None,,185.733473202
A07,SYBR,SnIV1-2696:2697,Unkn,,2399,,,35.5064453145359,NaN,35.5064453145359,0,0,84.5,215.965750298036,67.5,90,,483.780119486466
A08,SYBR,SnIV1-2696:2697,Unkn,,2407,,,33.7594491862595,NaN,33.7594491862595,0,0,84.5,236.966893781994,67.5,88,(+) Positive,634.734942487905
A09,SYBR,SnIV1-2696:2697,Unkn,,2415,,,34.957842894043,NaN,34.957842894043,0,0,85,231.456398171253,75.5,94.5,,596.369873291452
A10,SYBR,SnIV1-2696:2697,Pos Ctrl,,1961,,,34.1431022512957,NaN,34.1431022512957,0,0,84.5,224.029776050967,77.5,92,(+) Positive,611.532076497332
B01,SYBR,SnIV1-2696:2697,Unkn,,2288,,,30.8656148068263,NaN,30.8656148068263,0,0,84.5,298.252433644506,69.5,92.5,(+) Positive,937.567738783661
B02,SYBR,SnIV1-2696:2697,Unkn,,2298,,,32.6907971236306,NaN,32.6907971236306,0,0,85,202.706897920815,75.5,88.5,(+) Positive,688.815263096908
B03,SYBR,SnIV1-2696:2697,Unkn,,2308,,,31.020518318537,NaN,31.020518318537,0,0,85,306.246360071643,67.5,95,(+) Positive,906.032475480155
B04,SYBR,SnIV1-2696:2697,Unkn,,2376,,,32.6709432053729,NaN,32.6709432053729,0,0,85,244.886424249619,74,90.5,(+) Positive,762.264227625569
B05,SYBR,SnIV1-2696:2697,Unkn,,2384,,,28.4826338386449,NaN,28.4826338386449,0,0,85,323.212054566474,80.5,89.5,(+) Positive,1010.52639216637
B06,SYBR,SnIV1-2696:2697,Unkn,,2392,,,30.5281945342337,NaN,30.5281945342337,0,0,85,317.150408706778,67.5,90,(+) Positive,1094.615369825
B07,SYBR,SnIV1-2696:2697,Unkn,,2400,,,35.7961242554335,NaN,35.7961242554335,0,0,85,214.203341148003,67.5,92.5,,514.407909276513
B08,SYBR,SnIV1-2696:2697,Unkn,,2408,,,30.1308708374321,NaN,30.1308708374321,0,0,85,338.793469770747,81.5,90,(+) Positive,999.953403222545
B09,SYBR,SnIV1-2696:2697,Unkn,,2416,,,35.7557811859086,NaN,35.7557811859086,0,0,85,195.513190499701,80.5,88,,492.041893141308
B10,SYBR,SnIV1-2696:2697,Neg Ctrl,,1383,,,35.131439296295,NaN,35.131439296295,0,0,84.5,161.642609609221,81.5,93,,529.060717902052
C01,SYBR,SnIV1-2696:2697,Unkn,,2289,,,31.8511472244366,NaN,31.8511472244366,0,0,85,319.114575264809,81,90.5,(+) Positive,901.718878477194
C02,SYBR,SnIV1-2696:2697,Unkn,,2299,,,31.0932000759219,NaN,31.0932000759219,0,0,85,394.543226956438,81,88.5,(+) Positive,1208.59539243588
C03,SYBR,SnIV1-2696:2697,Unkn,,2309,,,32.105700982732,NaN,32.105700982732,0,0,85,372.636988627307,80.5,93.5,(+) Positive,1065.59561147781
C04,SYBR,SnIV1-2696:2697,Unkn,,2377,,,29.9412035622421,NaN,29.9412035622421,0,0,84.5,345.601080352256,79.5,89.5,(+) Positive,1132.84534906485
C05,SYBR,SnIV1-2696:2697,Unkn,,2385,,,31.7477277564628,NaN,31.7477277564628,0,0,85,353.380790230125,81,91.5,(+) Positive,994.616576976785
C06,SYBR,SnIV1-2696:2697,Unkn,,2393,,,35.0563036454289,NaN,35.0563036454289,0,0,85,233.722312833991,76,93.5,,570.465920365116
C07,SYBR,SnIV1-2696:2697,Unkn,,2401,,,32.7944873277551,NaN,32.7944873277551,0,0,84.5,381.199635089002,67.5,91.5,(+) Positive,962.735639028684
C08,SYBR,SnIV1-2696:2697,Unkn,,2409,,,31.1667128851242,NaN,31.1667128851242,0,0,85,375.622369104432,79.5,90,(+) Positive,1133.61680931948
C09,SYBR,SnIV1-2696:2697,Unkn,,2417,,,34.4015027577052,NaN,34.4015027577052,0,0,84.5,274.454771809591,79.5,89.5,(+) Positive,734.986548718357
C10,SYBR,SnIV1-2696:2697,NTC,,,,,39.1550490284784,NaN,39.1550490284784,0,0,None,None,None,None,,134.553061779998
D01,SYBR,SnIV1-2696:2697,Unkn,,2290,,,30.7568588159518,NaN,30.7568588159518,0,0,85,273.436075290011,80,90,(+) Positive,785.3521265835
D02,SYBR,SnIV1-2696:2697,Unkn,,2300,,,36.2517374484829,NaN,36.2517374484829,0,0,84.5,164.73463330347,67.5,92.5,,383.6298526601
D03,SYBR,SnIV1-2696:2697,Unkn,,2310,,,33.9003321032932,NaN,33.9003321032932,0,0,84.5,260.685173506162,67.5,93.5,(+) Positive,702.614333162419
D04,SYBR,SnIV1-2696:2697,Unkn,,2378,,,NaN,NaN,0,0,0,None,None,None,None,,-1.4891954446126
D05,SYBR,SnIV1-2696:2697,Unkn,,2386,,,31.8071987732067,NaN,31.8071987732067,0,0,85,312.854896082408,80.5,92,(+) Positive,953.263080871307
D06,SYBR,SnIV1-2696:2697,Unkn,,2394,,,30.7812900964586,NaN,30.7812900964586,0,0,84.5,296.599452014159,73,95,(+) Positive,1087.88349016938
D07,SYBR,SnIV1-2696:2697,Unkn,,2402,,,31.3443191365129,NaN,31.3443191365129,0,0,85,320.700228216717,80.5,91.5,(+) Positive,948.209669386738
D08,SYBR,SnIV1-2696:2697,Unkn,,2410,,,32.8295555459953,NaN,32.8295555459953,0,0,85,327.735849403811,80,92.5,(+) Positive,899.778419732919
D09,SYBR,SnIV1-2696:2697,Unkn,,2418,,,33.4155574160796,NaN,33.4155574160796,0,0,85,316.74372393991,80.5,90,(+) Positive,828.061396436477
D10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,1.6340580195385
E01,SYBR,SnIV1-2696:2697,Unkn,,2291,,,29.0095799930823,NaN,29.0095799930823,0,0,85,363.48681301588,76,93.5,(+) Positive,1144.9637969967
E02,SYBR,SnIV1-2696:2697,Unkn,,2301,,,36.6940689474624,NaN,36.6940689474624,0,0,82.5,129.374936905264,75,94.5,,419.174833496698
E03,SYBR,SnIV1-2696:2697,Unkn,,2311,,,31.2826851981309,NaN,31.2826851981309,0,0,85,298.114378600432,74,92.5,(+) Positive,1061.35209088462
E04,SYBR,SnIV1-2696:2697,Unkn,,2379,,,33.6187791793539,NaN,33.6187791793539,0,0,85,316.263754148885,80.5,89.5,(+) Positive,825.619282986083
E05,SYBR,SnIV1-2696:2697,Unkn,,2387,,,36.5078637010069,NaN,36.5078637010069,0,0,76,127.242608794422,67.5,80,,294.667860073491
E06,SYBR,SnIV1-2696:2697,Unkn,,2395,,,31.7476849047576,NaN,31.7476849047576,0,0,84.5,295.550483033851,76,91,(+) Positive,784.298559694867
E07,SYBR,SnIV1-2696:2697,Unkn,,2403,,,29.7750504747499,NaN,29.7750504747499,0,0,84.5,373.866021768407,67.5,90,(+) Positive,1256.43259395978
E08,SYBR,SnIV1-2696:2697,Unkn,,2411,,,32.8693096480011,NaN,32.8693096480011,0,0,84.5,317.74872986561,75,93.5,(+) Positive,948.522230189647
E09,SYBR,SnIV1-2696:2697,Unkn,,2419,,,35.5747664495573,NaN,35.5747664495573,0,0,85,284.471452305009,67.5,90,(+) Positive,607.78192133631
E10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,-1.32029327303262
F01,SYBR,SnIV1-2696:2697,Unkn,,2292,,,33.2382488496181,NaN,33.2382488496181,0,0,85,275.965081329192,81,88.5,(+) Positive,792.879075253246
F02,SYBR,SnIV1-2696:2697,Unkn,,2302,,,35.0568434642373,NaN,35.0568434642373,0,0,85,221.907136705194,81,92.5,(+) Positive,618.311139641316
F03,SYBR,SnIV1-2696:2697,Unkn,,2372,,,31.3739883821191,NaN,31.3739883821191,0,0,85,328.580043411575,80.5,92,(+) Positive,1044.1844375569
F04,SYBR,SnIV1-2696:2697,Unkn,,2380,,,31.2214384485784,NaN,31.2214384485784,0,0,84.5,254.726972144395,67.5,92.5,(+) Positive,901.937064417507
F05,SYBR,SnIV1-2696:2697,Unkn,,2388,,,31.5212237008316,NaN,31.5212237008316,0,0,84.5,268.564219029836,79,91.5,(+) Positive,952.642413466294
F06,SYBR,SnIV1-2696:2697,Unkn,,2396,,,33.6450091731909,NaN,33.6450091731909,0,0,84.5,305.357979403077,80,92,(+) Positive,920.781919613023
F07,SYBR,SnIV1-2696:2697,Unkn,,2404,,,37.7028508564482,NaN,37.7028508564482,0,0,85,146.20303029794,67.5,95,,301.988342706838
