File Name,admin_2023-12-20 07-53-35_BR007856 23-12-19 AluV1-2699-2698 plate 3.pcrd,,,,,,,,,,,,,,,,,
Created By User,admin,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Run Started,12/20/2023 06:55:08 UTC,,,,,,,,,,,,,,,,,
Run Ended,12/20/2023 08:28:51 UTC,,,,,,,,,,,,,,,,,
Sample Vol,10,,,,,,,,,,,,,,,,,
Lid Temp,105,,,,,,,,,,,,,,,,,
Protocol File Name,21-06-04 60-20 72-20 x40.prcl,,,,,,,,,,,,,,,,,
Plate Setup File Name,23-12-19 AluV1-2699-2698 plate 3.pltd,,,,,,,,,,,,,,,,,
Base Serial Number,BR007856,,,,,,,,,,,,,,,,,
Optical Head Serial Number,788BR07489,,,,,,,,,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,,,,,,,,
Amplification step,4,,,,,,,,,,,,,,,,,
Melt step,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Biological Set Name,Well Note,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Call,End RFU
A01,SYBR,AluV1-2699:2698,Unkn,,2287,,,39.0047329113955,NaN,39.0047329113955,0,0,None,None,None,None,,173.607414667326
A02,SYBR,AluV1-2699:2698,Unkn,,2297,,,NaN,NaN,0,0,0,None,None,None,None,,0.235830626732604
A03,SYBR,AluV1-2699:2698,Unkn,,2307,,,39.2840841885731,NaN,39.2840841885731,0,0,None,None,None,None,,145.716977853029
A04,SYBR,AluV1-2699:2698,Unkn,,2375,,,NaN,NaN,0,0,0,None,None,None,None,,-0.140626243033421
A05,SYBR,AluV1-2699:2698,Unkn,,2383,,,33.9009722289651,NaN,33.9009722289651,0,0,84,346.093849224316,74,93.5,(+) Positive,949.266175330291
A06,SYBR,AluV1-2699:2698,Unkn,,2391,,,32.6589348411989,NaN,32.6589348411989,0,0,83.5,424.616615609151,76,91.5,(+) Positive,1230.77919669251
A07,SYBR,AluV1-2699:2698,Unkn,,2399,,,35.388365758087,NaN,35.388365758087,0,0,84,311.025115558774,75,90.5,(+) Positive,736.724174617012
A08,SYBR,AluV1-2699:2698,Unkn,,2407,,,38.5397339750204,NaN,38.5397339750204,0,0,None,None,None,None,,203.629848057065
A09,SYBR,AluV1-2699:2698,Unkn,,2415,,,NaN,NaN,0,0,0,None,None,None,None,,52.2074189666943
A10,SYBR,AluV1-2699:2698,Neg Ctrl,,1961,,,39.0070414056529,NaN,39.0070414056529,0,0,None,None,None,None,,192.767798253085
B01,SYBR,AluV1-2699:2698,Unkn,,2288,,,30.1643444536453,NaN,30.1643444536453,0,0,84,473.868348004078,79.5,90,(+) Positive,1493.11593440423
B02,SYBR,AluV1-2699:2698,Unkn,,2298,,,40.8383778842664,NaN,40.8383778842664,0,0,None,None,None,None,,66.0752302073027
B03,SYBR,AluV1-2699:2698,Unkn,,2308,,,NaN,NaN,0,0,0,None,None,None,None,,27.3210185730833
B04,SYBR,AluV1-2699:2698,Unkn,,2376,,,28.8589792463923,NaN,28.8589792463923,0,0,84,516.91326663486,74,92.5,(+) Positive,1704.63106421344
B05,SYBR,AluV1-2699:2698,Unkn,,2384,,,26.5710432984395,NaN,26.5710432984395,0,0,84,460.693144145299,67.5,89.5,(+) Positive,1579.00096056843
B06,SYBR,AluV1-2699:2698,Unkn,,2392,,,27.8537085307476,NaN,27.8537085307476,0,0,84,476.043719132814,67.5,93,(+) Positive,1592.9490231713
B07,SYBR,AluV1-2699:2698,Unkn,,2400,,,30.4152051893345,NaN,30.4152051893345,0,0,84,637.601062622734,80,89.5,(+) Positive,2084.24813353289
B08,SYBR,AluV1-2699:2698,Unkn,,2408,,,28.3838713190147,NaN,28.3838713190147,0,0,84,507.959017851171,79,89.5,(+) Positive,1677.29168203921
B09,SYBR,AluV1-2699:2698,Unkn,,2416,,,38.0038708874821,NaN,38.0038708874821,0,0,76,154.083657525198,69,87.5,,281.58494507682
B10,SYBR,AluV1-2699:2698,Pos Ctrl,,1383,,,24.0329471406117,NaN,24.0329471406117,0,0,83.5,449.121330015113,67.5,90.5,(+) Positive,1474.47107559764
C01,SYBR,AluV1-2699:2698,Unkn,,2289,,,31.8706230304122,NaN,31.8706230304122,0,0,84,445.896742692584,67.5,92,(+) Positive,1310.83617873727
C02,SYBR,AluV1-2699:2698,Unkn,,2299,,,38.447964791001,NaN,38.447964791001,0,0,None,None,None,None,,231.519148385608
C03,SYBR,AluV1-2699:2698,Unkn,,2309,,,40.4639767595887,NaN,40.4639767595887,0,0,None,None,None,None,,80.9844243208659
C04,SYBR,AluV1-2699:2698,Unkn,,2377,,,28.0561450200496,NaN,28.0561450200496,0,0,84,601.543593809165,79,90,(+) Positive,1982.399620614
C05,SYBR,AluV1-2699:2698,Unkn,,2385,,,28.3787453617073,NaN,28.3787453617073,0,0,84,577.484620301469,67.5,95,(+) Positive,1913.82091254996
C06,SYBR,AluV1-2699:2698,Unkn,,2393,,,38.7641573259084,NaN,38.7641573259084,0,0,None,None,None,None,,227.324689579646
C07,SYBR,AluV1-2699:2698,Unkn,,2401,,,33.0589233499093,NaN,33.0589233499093,0,0,83.5,411.699099132431,73,92.5,(+) Positive,992.40163822221
